guide_id,source_file,source_url,status,clean_file,extraction_selector,structural_family,raw_bytes,clean_bytes,clean_characters,clean_words,estimated_tokens,retention_ratio,reason_if_not_cleaned
98afa6baff88a8db,blackops6-98afa6baff.html,https://callofduty.com/guides/blackops6,landing_index,,,,230535,0,0,0,0,0,classified_valid_landing_or_index_page
5d94162452704e65,call-of-duty-guides-black-ops-6-level-unlocks-player-level-1-55-5d94162452.html,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-level-unlocks-player-level-1-55,cleaned,data/clean/guides/5d94162452704e65.json,.body-content,0.90-14,317227,17026,4980,915,1245,0.053671,
ac6946f5820b8b6a,call-of-duty-guides-black-ops-6-multiplayer-beta-everything-you-need-to-know-ac6946f582.html,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-multiplayer-beta-everything-you-need-to-know,cleaned,data/clean/guides/ac6946f5820b8b6a.json,.body-content,0.90-15,172550,76192,29371,4621,7343,0.441565,
8084da5b9e5788cf,call-of-duty-guides-black-ops-6-multiplayer-guide-cod-101-read-this-first-8084da5b9e.html,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-multiplayer-guide-cod-101-read-this-first,cleaned,data/clean/guides/8084da5b9e5788cf.json,.body-content,0.90-16,76011,15674,9044,1605,2261,0.206207,
48b9fb5958e1b1b4,call-of-duty-guides-black-ops-6-multiplayer-mode-domination-48b9fb5958.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-domination,cleaned,data/clean/guides/48b9fb5958e1b1b4.json,.body-content,0.90-6,77315,12927,6999,1250,1750,0.167199,
71e4f5784ca75c6c,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-control-71e4f5784c.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-control,cleaned,data/clean/guides/71e4f5784ca75c6c.json,.body-content,0.90-7,67114,11237,5782,997,1446,0.167432,
ce1781dfc18885ec,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-face-off-ce1781dfc1.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-face-off,cleaned,data/clean/guides/ce1781dfc18885ec.json,.body-content,0.90-6,80277,12564,7322,1272,1831,0.156508,
e4372a3cc79aad3f,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-free-for-all-e4372a3cc7.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-free-for-all,cleaned,data/clean/guides/e4372a3cc79aad3f.json,.body-content,0.90-7,67771,11246,5916,1035,1479,0.165941,
6b24368309cb734a,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-gunfight-6b24368309.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-gunfight,cleaned,data/clean/guides/6b24368309cb734a.json,.body-content,0.90-6,76047,12549,6981,1212,1746,0.165016,
a6e454cae3ffd944,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-hardpoint-a6e454cae3.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-hardpoint,cleaned,data/clean/guides/a6e454cae3ffd944.json,.body-content,0.90-6,77110,14428,7721,1319,1931,0.187109,
3edfa5bd6b751aa7,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-headquarters-3edfa5bd6b.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-headquarters,cleaned,data/clean/guides/3edfa5bd6b751aa7.json,.body-content,0.90-7,66679,11952,6417,1128,1605,0.179247,
a6205d04459f05ab,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-kill-confirmed-a6205d0445.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-kill-confirmed,cleaned,data/clean/guides/a6205d04459f05ab.json,.body-content,0.90-7,64534,11225,6026,1092,1507,0.173939,
e20ed3eb14f8c74d,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-search-and-destroy-e20ed3eb14.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-search-and-destroy,cleaned,data/clean/guides/e20ed3eb14f8c74d.json,.body-content,0.90-7,77174,22723,12841,2280,3211,0.294439,
8865494a0742ac7d,call-of-duty-guides-black-ops-6-multiplayer-mode-kill-order-8865494a07.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-kill-order,cleaned,data/clean/guides/8865494a0742ac7d.json,.body-content,0.90-19,87632,15480,8739,1579,2185,0.176648,
5eb20fcb9b90efa6,call-of-duty-guides-black-ops-6-multiplayer-mode-team-deathmatch-5eb20fcb9b.html,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-team-deathmatch,cleaned,data/clean/guides/5eb20fcb9b90efa6.json,.body-content,0.90-6,79544,15003,9066,1606,2267,0.188613,
9f697c270a342659,call-of-duty-guides-black-ops-6-multiplayer-map-guide-babylon-9f697c270a.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-babylon,cleaned,data/clean/guides/9f697c270a342659.json,.body-content,0.90-4,103285,12802,6900,1155,1725,0.123948,
a3320a6a3c38cc1d,call-of-duty-guides-black-ops-6-multiplayer-map-guide-barrage-a3320a6a3c.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-barrage,cleaned,data/clean/guides/a3320a6a3c38cc1d.json,.body-content,0.90-4,94668,12743,6787,1129,1697,0.134607,
3861f2d258f2d960,call-of-duty-guides-black-ops-6-multiplayer-map-guide-blitz-3861f2d258.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-blitz,cleaned,data/clean/guides/3861f2d258f2d960.json,.body-content,0.90-4,90612,11422,6315,1122,1579,0.126054,
6cfdbb82dbca1dab,call-of-duty-guides-black-ops-6-multiplayer-map-guide-bounty-6cfdbb82db.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-bounty,cleaned,data/clean/guides/6cfdbb82dbca1dab.json,.body-content,0.90-4,98194,13569,7335,1255,1834,0.138186,
6429f52c3536aff2,call-of-duty-guides-black-ops-6-multiplayer-map-guide-bullet-6429f52c35.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-bullet,cleaned,data/clean/guides/6429f52c3536aff2.json,.body-content,0.90-4,100785,12997,7709,1382,1928,0.128958,
41e13242037de8f5,call-of-duty-guides-black-ops-6-multiplayer-map-guide-dealership-41e1324203.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-dealership,cleaned,data/clean/guides/41e13242037de8f5.json,.body-content,0.90-4,101408,13943,7582,1270,1896,0.137494,
e51cccf5a2f740bb,call-of-duty-guides-black-ops-6-multiplayer-map-guide-derelict-e51cccf5a2.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-derelict,cleaned,data/clean/guides/e51cccf5a2f740bb.json,.body-content,0.90-4,110827,16004,9280,1680,2320,0.144405,
e2babdbae0fa9eb7,call-of-duty-guides-black-ops-6-multiplayer-map-guide-eclipse-e2babdbae0.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-eclipse,cleaned,data/clean/guides/e2babdbae0fa9eb7.json,.body-content,0.90-4,87435,10700,5654,983,1414,0.122377,
e019b30406c62dab,call-of-duty-guides-black-ops-6-multiplayer-map-guide-exchange-e019b30406.html,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-exchange,cleaned,data/clean/guides/e019b30406c62dab.json,.body-content,0.90-4,94323,12095,6584,1142,1646,0.12823,
