update_date,franchise,title,experience,season,update_title,date_source_type,source_page_title,source_url,source_file,retrieved_at
2024-09-18,Call of Duty,Modern Warfare III,,Season 6,September 18,heading,Call of Duty: Modern Warfare III Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-modern-warfare-iii-season-6-patch-notes,call-of-duty-modern-warfare-iii-season-6-patch-notes-a40f30aa00.html,2026-09-18T00:27:27.841756+00:00
2024-09-18,Call of Duty,,Warzone,Season 6,WEDNESDAY SEPTEMBER 18,heading,Call of Duty: Warzone Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-mwiii-warzone-season-6-patch-notes,call-of-duty-mwiii-warzone-season-6-patch-notes-0e4f0c71f7.html,2026-09-18T00:27:28.939136+00:00
2024-09-19,Call of Duty,Modern Warfare III,,Season 6,September 19,heading,Call of Duty: Modern Warfare III Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-modern-warfare-iii-season-6-patch-notes,call-of-duty-modern-warfare-iii-season-6-patch-notes-a40f30aa00.html,2026-09-18T00:27:27.841756+00:00
2024-09-24,Call of Duty,Modern Warfare III,,Season 6,September 24,heading,Call of Duty: Modern Warfare III Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-modern-warfare-iii-season-6-patch-notes,call-of-duty-modern-warfare-iii-season-6-patch-notes-a40f30aa00.html,2026-09-18T00:27:27.841756+00:00
2024-09-24,Call of Duty,,Warzone,Season 6,TUESDAY SEPTEMBER 24,heading,Call of Duty: Warzone Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-mwiii-warzone-season-6-patch-notes,call-of-duty-mwiii-warzone-season-6-patch-notes-0e4f0c71f7.html,2026-09-18T00:27:28.939136+00:00
2024-10-01,Call of Duty,Modern Warfare III,,Season 6,October 1,heading,Call of Duty: Modern Warfare III Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-modern-warfare-iii-season-6-patch-notes,call-of-duty-modern-warfare-iii-season-6-patch-notes-a40f30aa00.html,2026-09-18T00:27:27.841756+00:00
2024-10-01,Call of Duty,,Warzone,Season 6,TUESDAY OCTOBER 1,heading,Call of Duty: Warzone Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-mwiii-warzone-season-6-patch-notes,call-of-duty-mwiii-warzone-season-6-patch-notes-0e4f0c71f7.html,2026-09-18T00:27:28.939136+00:00
2024-10-21,Call of Duty,Modern Warfare III,,Season 6,October 21,heading,Call of Duty: Modern Warfare III Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-modern-warfare-iii-season-6-patch-notes,call-of-duty-modern-warfare-iii-season-6-patch-notes-a40f30aa00.html,2026-09-18T00:27:27.841756+00:00
2024-10-21,Call of Duty,,Warzone,Season 6,MONDAY OCTOBER 21,heading;dateline,Call of Duty: Warzone Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-mwiii-warzone-season-6-patch-notes,call-of-duty-mwiii-warzone-season-6-patch-notes-0e4f0c71f7.html,2026-09-18T00:27:28.939136+00:00
2024-10-23,Call of Duty,Black Ops 6,,Preseason,October 23,anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-10-24,Call of Duty,Black Ops 6,,Preseason,October 24,anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-10-25,Call of Duty,Modern Warfare III,,Season 6,October 25,heading;dateline,Call of Duty: Modern Warfare III Season 6 Patch Notes,https://www.callofduty.com/patchnotes/2024/09/call-of-duty-modern-warfare-iii-season-6-patch-notes,call-of-duty-modern-warfare-iii-season-6-patch-notes-a40f30aa00.html,2026-09-18T00:27:27.841756+00:00
2024-10-26,Call of Duty,Black Ops 6,,Preseason,October 26,anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-10-29,Call of Duty,Black Ops 6,,Preseason,October 29,anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-11-01,Call of Duty,Black Ops 6,,Preseason,November 1,anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-11-04,Call of Duty,Black Ops 6,,Preseason,November 4,anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-11-08,Call of Duty,Black Ops 6,,Preseason,"November 08, 2024",dateline;anchor,Call of Duty: Black Ops 6 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2024/10/bo6-preseason-patch-notes,bo6-preseason-patch-notes-32453ee450.html,2026-09-18T00:27:30.081490+00:00
2024-11-13,Call of Duty,,Warzone,Season 01,WEDNESDAY NOVEMBER 13,heading,Call of Duty: Warzone Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2024/11/call-of-duty-bo6-warzone-season-01-patch-notes,call-of-duty-bo6-warzone-season-01-patch-notes-aee06a50fb.html,2026-09-18T00:27:32.590311+00:00
