guide_id,url,canonical_url,page_title,title_family,experience_if_explicit,guide_category_if_explicit,publication_or_update_date_if_explicit,discovery_source,source_file,retrieved_at
98afa6baff88a8db,https://callofduty.com/guides/blackops6,https://callofduty.com/guides/blackops6,Call of Duty®: Guides | Black Ops 6,Black Ops 6,,Guide,,internal_link,blackops6-98afa6baff.html,2026-09-18T06:49:00.287811+00:00
5d94162452704e65,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-level-unlocks-player-level-1-55,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-level-unlocks-player-level-1-55,Call of Duty | Guides - Black Ops 6 Level Unlocks: Player Level 1-55,Black Ops 6,,Guide,"October 21, 2024",internal_link,call-of-duty-guides-black-ops-6-level-unlocks-player-level-1-55-5d94162452.html,2026-09-18T06:49:00.355947+00:00
ac6946f5820b8b6a,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-multiplayer-beta-everything-you-need-to-know,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-multiplayer-beta-everything-you-need-to-know,Call of Duty | Guides - Black Ops 6 Multiplayer Beta — Everything You Need to Know,Black Ops 6,Multiplayer,Guide,"August 28, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-beta-everything-you-need-to-know-ac6946f582.html,2026-09-18T06:49:00.416983+00:00
8084da5b9e5788cf,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-multiplayer-guide-cod-101-read-this-first,https://callofduty.com/guides/blackops6/getting-started/call-of-duty-guides-black-ops-6-multiplayer-guide-cod-101-read-this-first,Call of Duty | Guides - Black Ops 6 Multiplayer Guide — COD 101 - READ THIS FIRST,Black Ops 6,Multiplayer,Guide,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-guide-cod-101-read-this-first-8084da5b9e.html,2026-09-18T06:49:00.433251+00:00
48b9fb5958e1b1b4,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-domination,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-domination,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Domination,Black Ops 6,Multiplayer,Mode,"August 27, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-domination-48b9fb5958.html,2026-09-18T06:49:00.450015+00:00
71e4f5784ca75c6c,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-control,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-control,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Control,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-control-71e4f5784c.html,2026-09-18T06:49:00.464857+00:00
ce1781dfc18885ec,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-face-off,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-face-off,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Face Off,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-face-off-ce1781dfc1.html,2026-09-18T06:49:00.481765+00:00
e4372a3cc79aad3f,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-free-for-all,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-free-for-all,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Free For All,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-free-for-all-e4372a3cc7.html,2026-09-18T06:49:00.496008+00:00
6b24368309cb734a,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-gunfight,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-gunfight,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Gunfight,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-gunfight-6b24368309.html,2026-09-18T06:49:00.512337+00:00
a6e454cae3ffd944,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-hardpoint,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-hardpoint,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Hardpoint,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-hardpoint-a6e454cae3.html,2026-09-18T06:49:00.528470+00:00
3edfa5bd6b751aa7,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-headquarters,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-headquarters,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Headquarters,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-headquarters-3edfa5bd6b.html,2026-09-18T06:49:00.542619+00:00
a6205d04459f05ab,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-kill-confirmed,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-kill-confirmed,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Kill Confirmed,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-kill-confirmed-a6205d0445.html,2026-09-18T06:49:00.556536+00:00
e20ed3eb14f8c74d,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-search-and-destroy,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-guide-search-and-destroy,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Search & Destroy,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-guide-search-and-destroy-e20ed3eb14.html,2026-09-18T06:49:00.573141+00:00
8865494a0742ac7d,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-kill-order,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-kill-order,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Kill Order,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-kill-order-8865494a07.html,2026-09-18T06:49:00.591784+00:00
5eb20fcb9b90efa6,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-team-deathmatch,https://callofduty.com/guides/blackops6/modes/call-of-duty-guides-black-ops-6-multiplayer-mode-team-deathmatch,Call of Duty | Guides - Black Ops 6 Multiplayer Mode Guide — Team Deathmatch,Black Ops 6,Multiplayer,Mode,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-mode-team-deathmatch-5eb20fcb9b.html,2026-09-18T06:49:00.608558+00:00
9f697c270a342659,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-babylon,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-babylon,Call of Duty | Guides - Black Ops 6 Multiplayer Map Guide — Babylon,Black Ops 6,Multiplayer,Map,"October 23, 2024",internal_link,call-of-duty-guides-black-ops-6-multiplayer-map-guide-babylon-9f697c270a.html,2026-09-18T06:49:00.630118+00:00
a3320a6a3c38cc1d,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-barrage,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-barrage,Call of Duty | Guides - Black Ops 6 Multiplayer Map Guide — Barrage,Black Ops 6,Multiplayer,Map,"April 03, 2025",internal_link,call-of-duty-guides-black-ops-6-multiplayer-map-guide-barrage-a3320a6a3c.html,2026-09-18T06:49:00.649895+00:00
3861f2d258f2d960,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-blitz,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-blitz,Call of Duty | Guides - Black Ops 6 Multiplayer Map Guide — Blitz,Black Ops 6,Multiplayer,Map,"May 23, 2025",internal_link,call-of-duty-guides-black-ops-6-multiplayer-map-guide-blitz-3861f2d258.html,2026-09-18T06:49:00.682628+00:00
6cfdbb82dbca1dab,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-bounty,https://callofduty.com/guides/blackops6/multiplayer-maps/call-of-duty-guides-black-ops-6-multiplayer-map-guide-bounty,Call of Duty | Guides - Black Ops 6 Multiplayer Map Guide — Bounty,Black Ops 6,Multiplayer,Map,"January 24, 2025",internal_link,call-of-duty-guides-black-ops-6-multiplayer-map-guide-bounty-6cfdbb82db.html,2026-09-18T06:49:00.703333+00:00
